Query 3; Tempo: 803.887414ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 692.874706ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 733.388313ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 716.384668ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 737.38993ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 793.85802ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 745.204853ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 776.844187ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 738.101659ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 689.919541ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 723.812478ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 819.804458ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 829.958261ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 640.93546ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 732.269984ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 738.178289ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 822.882881ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 808.316345ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 754.765007ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 766.693139ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 700.993304ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 699.705745ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 759.28766ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 787.239387ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 757.248635ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 738.520205ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 718.25309ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 786.062578ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 711.119296ms; Payload Request: 252; Payload Response: 45726
